B4:FB:E4:C8:98:1C,44,-43,unitn-x,0-0
B4:FB:E4:C7:8F:D3,1,-63,unitn-x,0-0
B6:FB:E4:C7:99:44,1,-62,eduroam,0-0
B4:FB:E4:C7:98:1C,1,-30,unitn-x,0-0
B4:FB:E4:C7:99:44,1,-62,unitn-x,0-0
B6:FB:E4:C7:98:1C,1,-31,eduroam,0-0
B4:FB:E4:C7:96:CF,11,-83,unitn-x,0-0
B6:FB:E4:C7:96:CF,11,-82,eduroam,0-0
B6:FB:E4:C8:99:44,36,-70,eduroam,0-0
B4:FB:E4:C8:99:44,36,-70,unitn-x,0-0
B4:FB:E4:C8:98:1C,44,-46,unitn-x,0-0
B6:FB:E4:C8:98:1C,44,-46,eduroam,0-0
B4:FB:E4:C8:8F:D3,44,-75,unitn-x,0-0
B6:FB:E4:C8:8F:D3,44,-75,eduroam,0-0
B6:FB:E4:C7:8F:D3,1,-63,eduroam,0-0
B4:FB:E4:C7:AF:41,6,-71,unitn-x,0-0
B6:FB:E4:C7:AF:41,6,-73,eduroam,0-0
B6:FB:E4:C7:95:73,11,-87,eduroam,0-0
B4:FB:E4:C7:8F:D3,1,-57,unitn-x,0-2
B6:FB:E4:C7:99:44,1,-57,eduroam,0-2
B4:FB:E4:C7:98:1C,1,-30,unitn-x,0-2
B4:FB:E4:C7:99:44,1,-50,unitn-x,0-2
B6:FB:E4:C7:98:1C,1,-32,eduroam,0-2
B4:FB:E4:C7:96:CF,11,-87,unitn-x,0-2
B6:FB:E4:C7:96:CF,11,-81,eduroam,0-2
B6:FB:E4:C8:99:44,36,-60,eduroam,0-2
B4:FB:E4:C8:99:44,36,-60,unitn-x,0-2
B4:FB:E4:C8:98:1C,44,-36,unitn-x,0-2
B6:FB:E4:C8:98:1C,44,-36,eduroam,0-2
B4:FB:E4:C8:8F:D3,44,-74,unitn-x,0-2
B6:FB:E4:C8:8F:D3,44,-74,eduroam,0-2
B6:FB:E4:C7:8F:D3,1,-72,eduroam,0-2
B4:FB:E4:C7:AF:41,6,-80,unitn-x,0-2
B6:FB:E4:C7:AF:41,6,-71,eduroam,0-2
B6:FB:E4:C7:95:73,11,-86,eduroam,0-2
B4:FB:E4:C7:AF:39,11,-88,unitn-x,0-2
B6:FB:E4:C7:AF:39,11,-85,eduroam,0-2
B4:FB:E4:C7:9C:6E,11,-86,unitn-x,0-2
B4:FB:E4:C7:8F:D3,1,-57,unitn-x,0-4
B6:FB:E4:C7:99:44,1,-54,eduroam,0-4
B4:FB:E4:C7:98:1C,1,-35,unitn-x,0-4
B4:FB:E4:C7:99:44,1,-53,unitn-x,0-4
B6:FB:E4:C7:98:1C,1,-36,eduroam,0-4
B4:FB:E4:C7:96:CF,11,-86,unitn-x,0-4
B6:FB:E4:C7:96:CF,11,-84,eduroam,0-4
B6:FB:E4:C8:99:44,36,-65,eduroam,0-4
B4:FB:E4:C8:99:44,36,-65,unitn-x,0-4
B4:FB:E4:C8:98:1C,44,-38,unitn-x,0-4
B6:FB:E4:C8:98:1C,44,-38,eduroam,0-4
B4:FB:E4:C8:8F:D3,44,-74,unitn-x,0-4
B6:FB:E4:C8:8F:D3,44,-74,eduroam,0-4
B6:FB:E4:C7:8F:D3,1,-57,eduroam,0-4
B4:FB:E4:C7:AF:41,6,-78,unitn-x,0-4
B6:FB:E4:C7:AF:41,6,-81,eduroam,0-4
B4:FB:E4:C7:9C:6E,11,-84,unitn-x,0-4
B6:FB:E4:C7:9C:6E,11,-89,eduroam,0-4
B4:FB:E4:C7:8F:D3,1,-61,unitn-x,0-6
B6:FB:E4:C7:99:44,1,-61,eduroam,0-6
B4:FB:E4:C7:98:1C,1,-34,unitn-x,0-6
B4:FB:E4:C7:99:44,1,-60,unitn-x,0-6
B6:FB:E4:C7:98:1C,1,-35,eduroam,0-6
B4:FB:E4:C7:96:CF,11,-80,unitn-x,0-6
B6:FB:E4:C7:96:CF,11,-79,eduroam,0-6
B6:FB:E4:C8:99:44,36,-70,eduroam,0-6
B4:FB:E4:C8:99:44,36,-70,unitn-x,0-6
B4:FB:E4:C8:98:1C,44,-43,unitn-x,0-6
B6:FB:E4:C8:98:1C,44,-43,eduroam,0-6
B4:FB:E4:C8:8F:D3,44,-75,unitn-x,0-6
B6:FB:E4:C8:8F:D3,44,-75,eduroam,0-6
B6:FB:E4:C7:8F:D3,1,-63,eduroam,0-6
B4:FB:E4:C7:AF:41,6,-78,unitn-x,0-6
B6:FB:E4:C7:AF:41,6,-81,eduroam,0-6
B4:FB:E4:C7:9C:6E,11,-88,unitn-x,0-6
B6:FB:E4:C7:9C:6E,11,-89,eduroam,0-6
B6:FB:E4:C8:96:CF,36,-91,eduroam,0-6
B4:FB:E4:C7:8F:D3,1,-60,unitn-x,2-3
B6:FB:E4:C7:99:44,1,-61,eduroam,2-3
B4:FB:E4:C7:98:1C,1,-39,unitn-x,2-3
B4:FB:E4:C7:99:44,1,-52,unitn-x,2-3
B6:FB:E4:C7:98:1C,1,-38,eduroam,2-3
B4:FB:E4:C7:96:CF,11,-76,unitn-x,2-3
B6:FB:E4:C7:96:CF,11,-76,eduroam,2-3
B6:FB:E4:C8:99:44,36,-60,eduroam,2-3
B4:FB:E4:C8:99:44,36,-77,unitn-x,2-3
B4:FB:E4:C8:98:1C,44,-38,unitn-x,2-3
B6:FB:E4:C8:98:1C,44,-38,eduroam,2-3
B4:FB:E4:C8:8F:D3,44,-73,unitn-x,2-3
B6:FB:E4:C8:8F:D3,44,-71,eduroam,2-3
B6:FB:E4:C7:8F:D3,1,-63,eduroam,2-3
B4:FB:E4:C7:AF:41,6,-78,unitn-x,2-3
B6:FB:E4:C7:AF:41,6,-77,eduroam,2-3
B4:FB:E4:C7:9C:6E,11,-78,unitn-x,2-3
B6:FB:E4:C8:96:CF,36,-89,eduroam,2-3
B6:FB:E4:C7:9E:BA,6,-86,eduroam,2-3
B6:FB:E4:C7:9C:6E,11,-78,eduroam,2-3
B6:FB:E4:C7:95:73,11,-80,eduroam,2-3
B4:FB:E4:C7:8F:D3,1,-58,unitn-x,2-1
B6:FB:E4:C7:99:44,1,-58,eduroam,2-1
B4:FB:E4:C7:98:1C,1,-52,unitn-x,2-1
B4:FB:E4:C7:99:44,1,-59,unitn-x,2-1
B6:FB:E4:C7:98:1C,1,-41,eduroam,2-1
B6:FB:E4:C7:96:CF,11,-76,eduroam,2-1
B6:FB:E4:C8:99:44,36,-70,eduroam,2-1
B4:FB:E4:C8:99:44,36,-70,unitn-x,2-1
B4:FB:E4:C8:98:1C,44,-41,unitn-x,2-1
B6:FB:E4:C8:98:1C,44,-41,eduroam,2-1
B4:FB:E4:C8:8F:D3,44,-80,unitn-x,2-1
B6:FB:E4:C8:8F:D3,44,-80,eduroam,2-1
B6:FB:E4:C7:8F:D3,1,-59,eduroam,2-1
B4:FB:E4:C7:AF:41,6,-77,unitn-x,2-1
B6:FB:E4:C7:AF:41,6,-77,eduroam,2-1
B4:FB:E4:C7:9C:6E,11,-82,unitn-x,2-1
B6:FB:E4:C8:96:CF,36,-89,eduroam,2-1
B6:FB:E4:C7:9C:6E,11,-88,eduroam,2-1
B6:FB:E4:C7:95:73,11,-85,eduroam,2-1
B4:FB:E4:C8:96:CF,36,-91,unitn-x,2-1
